"","plant_sp","site","year","week_num","block","species","common.NAme","tot_flw","avg_flor_area","tot_flor_area","avg_tall_flw","per_tar_cov","avg_fw","bloom_prd","chroma","hue","categorical","pol.unit","nectar"
"84","ASSY","NWMHRC",2016,29,2,"Asclepias syriaca","Common Milkweed",294.4,1.0164,299.22816,97,"50",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"85","ASSY","NWMHRC",2016,28,3,"Asclepias syriaca","Common Milkweed",2076.8,1.0164,2110.85952,112,"100",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"86","ASSY","NWMHRC",2016,29,3,"Asclepias syriaca","Common Milkweed",53.6,1.0164,54.47904,112,"90",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"87","ASSY","CRC",2016,27,3,"Asclepias syriaca","Common Milkweed",1411.2,1.0164,1434.34368,100,"985",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"88","ASSY","CRC",2016,26,2,"Asclepias syriaca","Common Milkweed",1066.8,1.0164,1084.29552,94,"90",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"89","ASSY","NWMHRC",2015,31,3,"Asclepias syriaca","Common Milkweed",60,1.0164,60.984,82.5,"70",0.78,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
"90","ASSY","NWMHRC",2016,28,2,"Asclepias syriaca","Common Milkweed",676,1.0164,687.0864,86,"65",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"91","ASSY","NWMHRC",2016,29,4,"Asclepias syriaca","Common Milkweed",204,1.0164,207.3456,84,"50",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"92","ASSY","NWMHRC",2016,27,4,"Asclepias syriaca","Common Milkweed",735,1.0164,747.054,78,"65",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"93","ASSY","CRC",2016,27,1,"Asclepias syriaca","Common Milkweed",382.2,1.0164,388.46808,97.5,"55",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"94","ASSY","NWMHRC",2016,27,2,"Asclepias syriaca","Common Milkweed",224,1.0164,227.6736,85,"64",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"95","ASSY","NWMHRC",2015,30,3,"Asclepias syriaca","Common Milkweed",86,1.0164,87.4104,82,"80",0.78,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
"96","ASSY","CRC",2015,29,2,"Asclepias syriaca","Common Milkweed",29,1.0164,29.4756,98,"60",0.72,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
"97","ASSY","CRC",2016,28,2,"Asclepias syriaca","Common Milkweed",244,1.0164,248.0016,110,"80",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"98","ASSY","CRC",2015,30,1,"Asclepias syriaca","Common Milkweed",21,1.0164,21.3444,80,"55",0.72,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
"99","ASSY","NWMHRC",2015,30,4,"Asclepias syriaca","Common Milkweed",46,1.0164,46.7544,68,"75",0.78,"middle",0.153022485,10.908157,"pink",2.84,7.732421875
"100","ASSY","CRC",2016,26,4,"Asclepias syriaca","Common Milkweed",508,1.0164,516.3312,80,"80",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"101","ASTU","CRC",2015,31,2,"Asclepias tuberosa","Butterfly Milkweed",657.6,0.6646,437.04096,47,"45",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"102","ASTU","CRC",2015,30,1,"Asclepias tuberosa","Butterfly Milkweed",171,0.6646,113.6466,40,"35",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"103","ASTU","SWMREC",2015,29,2,"Asclepias tuberosa","Butterfly Milkweed",27,0.6646,17.9442,47,"15",0.64,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"104","ASTU","NWMHRC",2015,31,3,"Asclepias tuberosa","Butterfly Milkweed",164,0.6646,108.9944,54,"35",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"105","ASTU","CRC",2015,31,1,"Asclepias tuberosa","Butterfly Milkweed",246.6,0.6646,163.89036,28,"35",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"106","ASTU","NWMHRC",2015,31,4,"Asclepias tuberosa","Butterfly Milkweed",85,0.6646,56.491,58,"30",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"107","ASTU","SWMREC",2015,30,2,"Asclepias tuberosa","Butterfly Milkweed",48,0.6646,31.9008,45,"15",0.64,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"108","ASTU","SWMREC",2015,29,4,"Asclepias tuberosa","Butterfly Milkweed",70,0.6646,46.522,46,"25",0.64,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"109","ASTU","NWMHRC",2015,31,1,"Asclepias tuberosa","Butterfly Milkweed",194,0.6646,128.9324,55,"40",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"110","ASTU","SWMREC",2016,26,2,"Asclepias tuberosa","Butterfly Milkweed",427.2,0.6646,283.91712,45,"50",0.64,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"111","ASTU","NWMHRC",2015,29,1,"Asclepias tuberosa","Butterfly Milkweed",102,0.6646,67.7892,51,"30",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"112","ASTU","SWMREC",2015,30,1,"Asclepias tuberosa","Butterfly Milkweed",60,0.6646,39.876,39,"35",0.64,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"113","ASTU","NWMHRC",2016,29,1,"Asclepias tuberosa","Butterfly Milkweed",1231.2,0.6646,818.25552,53,"40",1.04,"early",0.475557708,24.09481598,"orange",3.96,2.2265625
"114","ASTU","SWMREC",2015,30,3,"Asclepias tuberosa","Butterfly Milkweed",55,0.6646,36.553,51,"10",0.64,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"115","ASTU","CRC",2015,32,4,"Asclepias tuberosa","Butterfly Milkweed",127,0.6646,84.4042,58,"70",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"116","ASTU","CRC",2015,32,2,"Asclepias tuberosa","Butterfly Milkweed",560,0.6646,372.176,51,"40",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"117","ASTU","NWMHRC",2015,30,1,"Asclepias tuberosa","Butterfly Milkweed",156,0.6646,103.6776,51,"55",1.04,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"118","ASTU","CRC",2015,32,1,"Asclepias tuberosa","Butterfly Milkweed",280,0.6646,186.088,30,"40",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
"119","ASTU","CRC",2015,31,4,"Asclepias tuberosa","Butterfly Milkweed",822,0.6646,546.3012,63,"50",0.96,"middle",0.475557708,24.09481598,"orange",3.96,2.2265625
