site,year,plant_sp,record_id,specimen_id,date,week_num,SP,block,order,family,genus,species,bp
CRC,2015,COTR4,2382,SARE_2382,9/2/15,36,2,2,Hymenoptera,Andrenidae,Andrena,helianthi,late
CRC,2015,COTR4,2363,SARE_2363,9/2/15,36,1,1,Hymenoptera,Apidae,Ceratina,calcarata,late
CRC,2015,COTR4,2362,SARE_2362,9/2/15,36,1,1,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,COTR4,1911,SARE_1911,8/17/15,34,2,1,Hymenoptera,Halictidae,Lasioglossum,albipenne,late
CRC,2015,COTR4,2423,SARE_2423,8/28/15,35,2,3,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,COTR4,2430,SARE_2430,8/28/15,35,2,4,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,COTR4,2428,SARE_2428,8/28/15,35,2,4,Hymenoptera,Andrenidae,Andrena,helianthi,late
CRC,2015,COTR4,2429,SARE_2429,8/28/15,35,2,4,Hymenoptera,Andrenidae,Andrena,helianthi,late
CRC,2015,COTR4,2422,SARE_2422,8/28/15,35,2,3,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,COTR4,1840,SARE_1840,8/17/15,34,1,1,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,DAFR6,1676,SARE_1676,8/11/15,33,1,1,Hymenoptera,Colletidae,Hylaeus,affinis/modestus,late
CRC,2015,DAFR6,1677,SARE_1677,8/11/15,33,1,1,Hymenoptera,Apidae,Bombus,impatiens,late
CRC,2015,DAFR6,1850,SARE_1850,8/17/15,34,1,4,Hymenoptera,Halictidae,Lasioglossum,tegulare,late
CRC,2015,DAFR6,1915,SARE_1915,8/17/15,34,2,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,DAFR6,1527,SARE_1527,8/11/15,33,1,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,DAFR6,1916,SARE_1916,8/17/15,34,2,2,Hymenoptera,Colletidae,Hylaeus,affinis/modestus,late
CRC,2015,DAFR6,1472,SARE_1472,8/11/15,33,1,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,DAFR6,1942,SARE_1942,8/17/15,34,2,3,Hymenoptera,Colletidae,Hylaeus,affinis/modestus,late
CRC,2015,DAFR6,1848,SARE_1848,8/17/15,34,1,2,Hymenoptera,Apidae,Bombus,impatiens,late
