week_num,site,year,block,plant_sp,species,common.NAme,tot_flw,avg_flor_area,tot_flor_area,avg_tall_flw,per_tar_cov,tot_hb,tol_syr
27,CRC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,382.2,1.0164,388.46808,97.5,55,1,0
27,NWMHRC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,224,1.0164,227.6736,85,64,7,0
27,NWMHRC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,735,1.0164,747.054,78,65,4,0
27,NWMHRC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,21,1.0164,21.3444,79,75,0,0
27,NWMHRC,2016,3,ASSY,Asclepias syriaca,Common Milkweed,924,1.0164,939.1536,90,100,10,0
27,SWMREC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,555,1.0164,564.102,99,100,18,1
27,SWMREC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,259,1.0164,263.2476,108,95,1,2
27,SWMREC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,333,1.0164,338.4612,97,75,5,2
29,NWMHRC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,294.4,1.0164,299.22816,97,50,4,0
29,NWMHRC,2016,3,ASSY,Asclepias syriaca,Common Milkweed,53.6,1.0164,54.47904,112,90,0,0
29,NWMHRC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,204,1.0164,207.3456,84,50,0,0
29,NWMHRC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,101,1.0164,102.6564,96,60,0,0
29,CRC,2015,2,ASSY,Asclepias syriaca,Common Milkweed,29,1.0164,29.4756,98,60,0,0
29,NWMHRC,2015,4,ASSY,Asclepias syriaca,Common Milkweed,27,1.0164,27.4428,60,45,0,0
30,CRC,2015,1,ASSY,Asclepias syriaca,Common Milkweed,21,1.0164,21.3444,80,55,0,0
30,NWMHRC,2015,4,ASSY,Asclepias syriaca,Common Milkweed,46,1.0164,46.7544,68,75,0,0
30,NWMHRC,2015,3,ASSY,Asclepias syriaca,Common Milkweed,86,1.0164,87.4104,82,80,0,0
31,NWMHRC,2015,3,ASSY,Asclepias syriaca,Common Milkweed,60,1.0164,60.984,82.5,70,0,0
28,CRC,2016,3,ASSY,Asclepias syriaca,Common Milkweed,104,1.0164,105.7056,100,95,1,0
28,CRC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,244,1.0164,248.0016,110,80,0,0
28,CRC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,234,1.0164,237.8376,90.5,85,0,0
28,NWMHRC,2016,2,ASSY,Asclepias syriaca,Common Milkweed,676,1.0164,687.0864,86,65,9,0
28,NWMHRC,2016,4,ASSY,Asclepias syriaca,Common Milkweed,964.8,1.0164,980.62272,93,50,0,0
28,NWMHRC,2016,1,ASSY,Asclepias syriaca,Common Milkweed,421.6,1.0164,428.51424,94,30,17,0
28,NWMHRC,2016,3,ASSY,Asclepias syriaca,Common Milkweed,2076.8,1.0164,2110.85952,112,100,11,0
33,CRC,2015,4,ASSY,Asclepias syriaca,Common Milkweed,43,1.0164,43.7052,86,60,0,0
32,CRC,2015,4,ASSY,Asclepias syriaca,Common Milkweed,25,1.0164,25.41,79,50,0,0
26,SWMREC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,1673.2,0.6646,1112.00872,53,65,2,0
26,SWMREC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,1231.2,0.6646,818.25552,36,60,0,0
26,SWMREC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,427.2,0.6646,283.91712,45,50,0,0
27,CRC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,1100,0.6646,731.06,65,90,0,1
27,CRC,2016,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,1144,0.6646,760.3024,41,40,0,0
27,CRC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,1540,0.6646,1023.484,53,65,1,0
27,CRC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,1892,0.6646,1257.4232,50.5,75,2,0
27,SWMREC,2016,1,ASTU,Asclepias tuberosa,Butterfly Milkweed,1806,0.6646,1200.2676,49,60,20,0
27,SWMREC,2016,4,ASTU,Asclepias tuberosa,Butterfly Milkweed,3276,0.6646,2177.2296,52.5,65,13,1
27,SWMREC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,1512,0.6646,1004.8752,49,40,15,0
29,CRC,2016,3,ASTU,Asclepias tuberosa,Butterfly Milkweed,1574.4,0.6646,1046.34624,41,40,2,0
29,CRC,2016,2,ASTU,Asclepias tuberosa,Butterfly Milkweed,1503.8,0.6646,999.42548,66,75,2,1
